Date,Month,Year,EMS,Wind,Temp_mean,H2O,Sunspots,Sud_Imp,Sud_Storm,Dst_mean,Dst_var,Dst_group,PC1,PC2
2007-07-15,7,2007,2,3,15.3,1.2,39,No,No,-31,24,level_2,-6.748058689202555,2.0377899900218437
2007-07-16,7,2007,7,3,17.7,0,31,No,No,-16,12,level_2,-1.9348839697909683,0.8537357235444732
2007-07-17,7,2007,3,4,17,3,17,No,No,-10,15,level_1,-0.1702133650583277,1.2093205618858862
2007-07-18,7,2007,6,2,16.6,0,14,No,No,-1,15,level_1,3.054862703528249,1.451567849633475
2007-07-19,7,2007,2,2,18.2,1.8,12,No,No,3,12,level_1,4.040597565258861,0.5461937404089056
2007-07-20,7,2007,8,5,16,0,0,Yes,No,-10,43,level_2,-0.2590524750096093,-4.51527957120564
2007-07-21,7,2007,4,2,16.4,0,0,No,No,-19,20,level_2,-3.026657827100233,0.6606421633606103
2007-07-22,7,2007,5,3,18.7,0,0,No,No,-12,13,level_1,-0.8257362131606797,0.541833567906292
2007-07-23,7,2007,2,3,20.2,0,0,No,No,-5,16,level_1,1.4196628207225341,0.6144322037190922
2007-07-24,7,2007,3,2,22.7,0,0,No,No,-2,10,level_1,2.723845290678392,0.22056552124376566
2007-07-25,7,2007,5,3,21.8,5.7,0,No,No,3,10,level_1,4.1484383054207,-0.3774178102837485
2007-07-26,7,2007,7,2,23,9.2,0,No,No,15,42,level_1,8.209057373482388,0.4029271804692276
2007-07-27,7,2007,3,3,23,6.8,0,No,No,-8,17,level_1,0.5557103580251885,-0.888574793194177
